QUA,QUA_val,BLU,RED,NIR,SWR,BLU_1,RED_1,NIR_1,SWR_1,BLU_2,RED_2,NIR_2,SWR_2,BLU_3,RED_3,NIR_3,SWR_3,BLU_4,RED_4,NIR_4,SWR_4,Satellite_Date,Location,Altitude
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-26,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-28,Malic,850
False,123.0000,1.0630,0.6365,0.7050,0.4750,1.0465,0.5590,0.6000,0.4310,1.0805,0.6170,0.6790,0.4605,0.9715,0.7090,0.7660,0.4925,1.0505,0.6670,0.7245,0.4925,2014-04-29,Malic,850
False,251.0000,0.0920,0.0860,0.4200,0.2315,0.1230,0.0995,0.4395,0.2430,0.1730,0.2290,0.4590,0.2700,0.0730,0.0705,0.4045,0.2245,0.0785,0.0720,0.4390,0.2230,2014-04-30,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-01,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-02,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-03,Malic,850
False,248.0000,0.0140,0.0210,0.2115,0.0935,0.0165,0.0250,0.2250,0.0890,0.0155,0.0265,0.2500,0.1005,0.0125,0.0210,0.2285,0.1020,0.0125,0.0195,0.2000,0.0880,2014-05-04,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-05,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-07,Malic,850
